gloss_sequence,vietnamese_sentence
toi dang nghe,Tôi đang nghe.
thu_nam ban dang hoc_bai,Thứ năm bạn đang học bài.
thu_sau chi dang mua_sam,Thứ sáu chị đang mua sắm.
bun o_dau,Bún ở đâu?
hom_nay me lam_bai_tap,Hôm nay mẹ làm bài tập.
thang anh dang nghe,Tháng anh đang nghe.
buoi_trua chung_toi dang hoc_bai,Buổi trưa chúng tôi đang học bài.
toi muon ba_muoi vo,Tôi muốn ba mươi vở.
hom_qua thay_giao dang lam_viec,Hôm qua thầy giáo đang làm việc.
anh bi dau_tay nen can di_nha_ve_sinh,Anh bị đau tay nên cần đi nhà vệ sinh.
thu_bay chung_toi bi di_ung,Thứ bảy chúng tôi bị dị ứng.
hom_nay bao khong,Hôm nay có bão không?
mua_he chi ngu,Mùa hè chị ngủ.
chi muon ca_phe o sieu_thi,Chị muốn cà phê ở siêu thị.
ban cam_thay met khong,Bạn có cảm thấy mệt không?
ban can bao_nhieu ban,Bạn cần bao nhiêu bàn?
ngay_mai bo nghi,Ngày mai bố nghỉ.
ban muon mot chao,Bạn muốn một cháo.
toi muon tam ban_phim,Tôi muốn tám bàn phím.
ong di tau_hoa,Ông đi tàu hỏa.
ong muon ba_muoi com,Ông muốn ba mươi cơm.
toi can bay pho,Tôi cần bảy phở.
benh_nhan muon tra,Bệnh nhân muốn trà.
thu_ba con_trai bi bi_thuong,Thứ ba con trai bị bị thương.
bo se lam_viec,Bố sẽ làm việc.
thu_bay nguoi_khiem_thinh bi dau_chan,Thứ bảy người khiếm thính bị đau chân.
mua_he me dang tam,Mùa hè mẹ đang tắm.
ngay_mai co noi,Ngày mai cô nói.
hom_qua con_trai dang mua_sam,Hôm qua con trai đang mua sắm.
em muon mot den,Em muốn một đèn.
co da hoc_bai,Cô đã học bài.
buoi_sang bo dang doc_sach,Buổi sáng bố đang đọc sách.
thu_ba nguoi_khiem_thinh dang choi,Thứ ba người khiếm thính đang chơi.
ngay_mai toi dang hoc_bai,Ngày mai tôi đang học bài.
thu_ba am_uot khong,Thứ ba có ẩm ướt không?
me cam_thay cam_lanh,Mẹ cảm thấy cảm lạnh.
buoi_trua me bi di_ung,Buổi trưa mẹ bị dị ứng.
em den ghe,Em đến ghế.
chu_nhat thay_giao dang chay,Chủ nhật thầy giáo đang chạy.
toi muon nuoc o sieu_thi,Tôi muốn nước ở siêu thị.
hom_qua con_gai dang doc_sach,Hôm qua con gái đang đọc sách.
ngay_mai con_trai dang tap_the_duc,Ngày mai con trai đang tập thể dục.
toi_nay con_gai dang di_hoc,Tối nay con gái đang đi học.
chung_toi bi met nen can goi_bac_si,Chúng tôi bị mệt nên cần gọi bác sĩ.
thu_tu co_giao dang giat_do,Thứ tư cô giáo đang giặt đồ.
con_gai can ao,Con gái cần áo.
em mat tivi,Em mất ti vi.
me thich ao_khoac,Mẹ thích áo khoác.
anh can hai den,Anh cần hai đèn.
thu_nam anh dang di_bo,Thứ năm anh đang đi bộ.
hom_nay con_gai dang noi,Hôm nay con gái đang nói.
hom_qua ba dang di_cho,Hôm qua bà đang đi chợ.
nam co_giao dang tap_the_duc,Năm cô giáo đang tập thể dục.
ngay_mai chi bi dau_dau,Ngày mai chị bị đau đầu.
anh da nghe,Anh đã nghe.
thu_tu thay_giao dang di_hoc,Thứ tư thầy giáo đang đi học.
ngay_mai toi bi di_ung,Ngày mai tôi bị dị ứng.
thay_giao can ghe khong,Thầy giáo có cần ghế không?
buoi_toi co_giao dang noi,Buổi tối cô giáo đang nói.
thu_tu chi dang tam,Thứ tư chị đang tắm.
anh thich kinh_lup,Anh thích kính lúp.
nam ong bi buon_non,Năm ông bị buồn nôn.
thu_sau con_gai bi sot,Thứ sáu con gái bị sốt.
thu_sau thay_giao dang hoc_bai,Thứ sáu thầy giáo đang học bài.
ngay_mai con_trai dang di_hoc,Ngày mai con trai đang đi học.
nam bo bi dau_dau,Năm bố bị đau đầu.
thu_sau co_giao bi sot,Thứ sáu cô giáo bị sốt.
thu_ba em doc_sach,Thứ ba em đọc sách.
nguoi_khiem_thinh can pho khong,Người khiếm thính có cần phở không?
ngay con_gai dang di_cho,Ngày con gái đang đi chợ.
mua_he con_gai dang nghi,Mùa hè con gái đang nghỉ.
mua_dong toi bi di_ung,Mùa đông tôi bị dị ứng.
buoi_trua me dang mua_sam,Buổi trưa mẹ đang mua sắm.
noi_com_dien cu,Nồi cơm điện cũ.
co muon rau,Cô muốn rau.
anh muon tam tivi,Anh muốn tám ti vi.
thu_bay me xem,Thứ bảy mẹ xem.
ong muon hai bun,Ông muốn hai bún.
em bi dau can goi_bac_si,"Em bị đau, cần gọi bác sĩ."
anh muon pho,Anh muốn phở.
nam co bi di_ung,Năm cô bị dị ứng.
chi tim tivi,Chị tìm ti vi.
buoi_chieu benh_nhan dang lam_bai_tap,Buổi chiều bệnh nhân đang làm bài tập.
ong o nha,Ông ở nhà.
thang me dang lam_viec,Tháng mẹ đang làm việc.
nam con_gai dang tam,Năm con gái đang tắm.
thu_hai co di_hoc,Thứ hai cô đi học.
thu_sau me viet,Thứ sáu mẹ viết.
co thich com,Cô thích cơm.
anh muon nam sua,Anh muốn năm sữa.
thu_nam anh dang tap_the_duc,Thứ năm anh đang tập thể dục.
thang thay_giao di_hoc,Tháng thầy giáo đi học.
hom_nay co_giao dang uong,Hôm nay cô giáo đang uống.
me can noi_com_dien,Mẹ cần nồi cơm điện.
thu_sau co bi dau_dau,Thứ sáu cô bị đau đầu.
thay_giao o nha_ga,Thầy giáo ở nhà ga.
thu_bay em dang rua_tay,Thứ bảy em đang rửa tay.
me can mot_tram bun,Mẹ cần một trăm bún.
thang em bi dau_chan,Tháng em bị đau chân.
toi bi cam_lanh can goi_bac_si,"Tôi bị cảm lạnh, cần gọi bác sĩ."
me bi dau_hong nen can nghi_ngoi,Mẹ bị đau họng nên cần nghỉ ngơi.
buoi_toi anh se di van_phong,Buổi tối anh sẽ đi văn phòng.
mua_dong chung_toi dang nghi,Mùa đông chúng tôi đang nghỉ.
thay_giao can noi_com_dien,Thầy giáo cần nồi cơm điện.
nam bo bi cam_lanh,Năm bố bị cảm lạnh.
thu_ba ban dang choi,Thứ ba bạn đang chơi.
hom_nay me an,Hôm nay mẹ ăn.
thu_ba chung_toi dang di_bo,Thứ ba chúng tôi đang đi bộ.
em muon mot_tram may_tinh,Em muốn một trăm máy tính.
thu_nam con_gai bi dau_lung,Thứ năm con gái bị đau lưng.
chu_nhat con_trai bi dau_dau,Chủ nhật con trai bị đau đầu.
anh muon sach,Anh muốn sách.
buoi_trua co dang an,Buổi trưa cô đang ăn.
thu_hai ba dang choi,Thứ hai bà đang chơi.
sach kho_rao,Sách khô ráo.
ngay_mai con_trai bi ho,Ngày mai con trai bị ho.
toi can ba_lo khong,Tôi có cần ba lô không?
bo can thit khong,Bố có cần thịt không?
thu_sau nguoi_khiem_thinh dang nau_an,Thứ sáu người khiếm thính đang nấu ăn.
thu_nam nguoi_khiem_thinh bi dau_lung,Thứ năm người khiếm thính bị đau lưng.
hom_nay ba dang lam_bai_tap,Hôm nay bà đang làm bài tập.
thu_sau ban bi cam_lanh,Thứ sáu bạn bị cảm lạnh.
buoi_trua ban dang noi,Buổi trưa bạn đang nói.
ao cu,Áo cũ.
ngay_mai chung_toi bi dau_tay,Ngày mai chúng tôi bị đau tay.
hom_nay thay_giao bi chay_mau,Hôm nay thầy giáo bị chảy máu.
buoi_sang toi di_hoc,Buổi sáng tôi đi học.
buoi_chieu benh_nhan dang xem,Buổi chiều bệnh nhân đang xem.
co dang nghe,Cô đang nghe.
lam_on goi but giup toi,Làm ơn gọi bút giúp tôi.
thu_bay ong bi dau_dau,Thứ bảy ông bị đau đầu.
chu_nhat co_giao dang lam_viec,Chủ nhật cô giáo đang làm việc.
thang me bi dau_bung,Tháng mẹ bị đau bụng.
co can xe_cuu_thuong,Cô cần xe cứu thương.
ngay ba bi chay_mau,Ngày bà bị chảy máu.
thang con_gai dang di_bo,Tháng con gái đang đi bộ.
ong can bon ban_phim,Ông cần bốn bàn phím.
buoi_sang ong dang tap_the_duc,Buổi sáng ông đang tập thể dục.
hom_qua toi dang nghi,Hôm qua tôi đang nghỉ.
ban can tam com,Bạn cần tám cơm.
em khong muon goi_y_ta,Em không muốn gọi y tá.
thu_bay anh dang uong,Thứ bảy anh đang uống.
hom_qua ban dang lam_bai_tap,Hôm qua bạn đang làm bài tập.
em mat may_tinh,Em mất máy tính.
em muon muoi tivi,Em muốn mười ti vi.
chung_toi can sac_pin,Chúng tôi cần sạc pin.
em muon nam den,Em muốn năm đèn.
thu_hai chi bi buon_non,Thứ hai chị bị buồn nôn.
thay_giao can ba_lo,Thầy giáo cần ba lô.
chung_toi can ca,Chúng tôi cần cá.
ban bi dau_dau nen can nghi_ngoi,Bạn bị đau đầu nên cần nghỉ ngơi.
toi di sieu_thi,Tôi đi siêu thị.
co_giao muon di_benh_vien,Cô giáo muốn đi bệnh viện.
chung_toi muon rau,Chúng tôi muốn rau.
ngay_mai chi bi buon_non,Ngày mai chị bị buồn nôn.
nam chi dang rua_tay,Năm chị đang rửa tay.
ban khong muon dia_chi,Bạn không muốn địa chỉ.
mua_he ong dang nghi,Mùa hè ông đang nghỉ.
thu_bay thay_giao bi met,Thứ bảy thầy giáo bị mệt.
thu_tu ong dang mua_sam,Thứ tư ông đang mua sắm.
thu_tu toi bi met,Thứ tư tôi bị mệt.
thay_giao muon nghi_ngoi,Thầy giáo muốn nghỉ ngơi.
hom_qua chung_toi dang viet,Hôm qua chúng tôi đang viết.
ban thich nghi_ngoi,Bạn thích nghỉ ngơi.
mua_dong co_giao dang nau_an,Mùa đông cô giáo đang nấu ăn.
thu_ba nguoi_khiem_thinh bi buon_non,Thứ ba người khiếm thính bị buồn nôn.
toi_nay ong bi sot,Tối nay ông bị sốt.
hom_nay ban dang xem,Hôm nay bạn đang xem.
thay_giao can nghi_ngoi khong,Thầy giáo có cần nghỉ ngơi không?
thay_giao thich keo,Thầy giáo thích kẹo.
co_giao muon trai_cay,Cô giáo muốn trái cây.
anh muon bay tivi,Anh muốn bảy ti vi.
thu_bay em dang giat_do,Thứ bảy em đang giặt đồ.
em can bao_nhieu but,Em cần bao nhiêu bút?
thu_sau thay_giao dang uong,Thứ sáu thầy giáo đang uống.
ban muon mua banh_mi,Bạn muốn mua bánh mì.
em di benh_vien,Em đi bệnh viện.
ong muon nuoc_cam o sieu_thi,Ông muốn nước cam ở siêu thị.
em muon ba sach,Em muốn ba sách.
toi bi dau nen can goi_bac_si,Tôi bị đau nên cần gọi bác sĩ.
thu_nam thay_giao di_hoc,Thứ năm thầy giáo đi học.
toi_nay kho_rao khong,Tối nay có khô ráo không?
bay_gio con_trai bi dau_lung,Bây giờ con trai bị đau lưng.
me can mot_tram may_tinh,Mẹ cần một trăm máy tính.
thu_hai ba dang an,Thứ hai bà đang ăn.
me muon chin nuoc,Mẹ muốn chín nước.
ngay_mai thay_giao bi met,Ngày mai thầy giáo bị mệt.
thang ong dang doc_sach,Tháng ông đang đọc sách.
thu_sau em dang tam,Thứ sáu em đang tắm.
me can hai_muoi chao,Mẹ cần hai mươi cháo.
toi_nay thay_giao bi cam_lanh,Tối nay thầy giáo bị cảm lạnh.
buoi_trua chung_toi bi dau_lung,Buổi trưa chúng tôi bị đau lưng.
bo muon ba_muoi may_tinh,Bố muốn ba mươi máy tính.
con_gai thich den,Con gái thích đèn.
toi_nay chi dang choi,Tối nay chị đang chơi.
hom_qua benh_nhan bi dau_tay,Hôm qua bệnh nhân bị đau tay.
ban can bon sach,Bạn cần bốn sách.
con_gai di ben_xe,Con gái đi bến xe.
co can keo,Cô cần kẹo.
toi can xe_cuu_thuong,Tôi cần xe cứu thương.
mua_dong toi dang mua_sam,Mùa đông tôi đang mua sắm.
thu_ba ban dang di_cho,Thứ ba bạn đang đi chợ.
chi khong noi,Chị không nói.
buoi_trua chung_toi bi dau_tay,Buổi trưa chúng tôi bị đau tay.
toi_nay benh_nhan dang di_cho,Tối nay bệnh nhân đang đi chợ.
buoi_toi co_giao ngu,Buổi tối cô giáo ngủ.
toi can bao_nhieu ban_phim,Tôi cần bao nhiêu bàn phím?
chu_nhat ban dang lam_bai_tap,Chủ nhật bạn đang làm bài tập.
thu_sau em bi dau_hong,Thứ sáu em bị đau họng.
co_giao thich giuong,Cô giáo thích giường.
nam ba dang noi,Năm bà đang nói.
chung_toi muon may_tinh,Chúng tôi muốn máy tính.
hom_nay chung_toi dang choi,Hôm nay chúng tôi đang chơi.
chu_nhat con_gai dang nghe,Chủ nhật con gái đang nghe.
nam bo dang nghi,Năm bố đang nghỉ.
chu_nhat con_gai bi di_ung,Chủ nhật con gái bị dị ứng.
bo can bay pho,Bố cần bảy phở.
co_giao se nghe,Cô giáo sẽ nghe.
toi muon tra o phong_kham,Tôi muốn trà ở phòng khám.
ghe cu,Ghế cũ.
mua_he anh dang an,Mùa hè anh đang ăn.
em muon thit o cho,Em muốn thịt ở chợ.
buoi_toi em dang di_hoc,Buổi tối em đang đi học.
buoi_trua anh bi sot,Buổi trưa anh bị sốt.
thu_bay anh dang tam,Thứ bảy anh đang tắm.
ong can mot dien_thoai,Ông cần một điện thoại.
buoi_chieu ba dang nau_an,Buổi chiều bà đang nấu ăn.
thu_ba ban dang rua_tay,Thứ ba bạn đang rửa tay.
thang toi nghe,Tháng tôi nghe.
thay_giao o phong,Thầy giáo ở phòng.
toi can mot banh_mi,Tôi cần một bánh mì.
thu_bay thay_giao dang tam,Thứ bảy thầy giáo đang tắm.
ban bi dau_dau nen can goi_y_ta,Bạn bị đau đầu nên cần gọi y tá.
ong khong muon giay,Ông không muốn giấy.
thu_hai co dang doc_sach,Thứ hai cô đang đọc sách.
me muon hai_muoi chao,Mẹ muốn hai mươi cháo.
buoi_trua ba hoc_bai,Buổi trưa bà học bài.
co dang ngu,Cô đang ngủ.
me khong muon thuc_an,Mẹ không muốn thức ăn.
con_trai can den khong,Con trai có cần đèn không?
mua_he co_giao dang di_hoc,Mùa hè cô giáo đang đi học.
toi can bon tivi,Tôi cần bốn ti vi.
chu_nhat anh dang chay,Chủ nhật anh đang chạy.
ban_be can but,Bạn bè cần bút.
me muon mua giuong,Mẹ muốn mua giường.
me muon ba_muoi but,Mẹ muốn ba mươi bút.
thu_tu ong bi dau_tay,Thứ tư ông bị đau tay.
anh muon bay den,Anh muốn bảy đèn.
buoi_toi co xem,Buổi tối cô xem.
hom_nay ban se di van_phong,Hôm nay bạn sẽ đi văn phòng.
chung_toi can goi_y_ta,Chúng tôi cần gọi y tá.
ngay toi dang lam_viec,Ngày tôi đang làm việc.
me muon hai vo,Mẹ muốn hai vở.
me can ban_do khong,Mẹ có cần bản đồ không?
thu_hai nguoi_khiem_thinh bi chong_mat,Thứ hai người khiếm thính bị chóng mặt.
bo muon dien_thoai,Bố muốn điện thoại.
thang co bi ho,Tháng cô bị ho.
chu_nhat bo noi,Chủ nhật bố nói.
buoi_trua ba bi dau_bung,Buổi trưa bà bị đau bụng.
anh muon gi,Anh muốn gì?
buoi_trua em se di van_phong,Buổi trưa em sẽ đi văn phòng.
chi bi met can goi_bac_si,"Chị bị mệt, cần gọi bác sĩ."
buoi_trua co_giao dang di_bo,Buổi trưa cô giáo đang đi bộ.
buoi_toi chi bi cam_lanh,Buổi tối chị bị cảm lạnh.
chu_nhat ong doc_sach,Chủ nhật ông đọc sách.
ngay co_giao di_hoc,Ngày cô giáo đi học.
ba thich kinh,Bà thích kính.
buoi_chieu chung_toi dang choi,Buổi chiều chúng tôi đang chơi.
ban khong muon o,Bạn không muốn ô.
con_trai thich kinh,Con trai thích kính.
buoi_sang bo dang nau_an,Buổi sáng bố đang nấu ăn.
hom_qua anh dang tam,Hôm qua anh đang tắm.
me la ky_su,Mẹ là kỹ sư.
buoi_toi benh_nhan dang di_bo,Buổi tối bệnh nhân đang đi bộ.
thu_tu chung_toi dang di_bo,Thứ tư chúng tôi đang đi bộ.
ngay_mai ban dang noi,Ngày mai bạn đang nói.
buoi_toi con_trai bi sot,Buổi tối con trai bị sốt.
tivi nong,Ti vi nóng.
thu_ba thay_giao bi dau_tay,Thứ ba thầy giáo bị đau tay.
hom_qua bo dang an,Hôm qua bố đang ăn.
ban muon bun o cho,Bạn muốn bún ở chợ.
chi muon giup_do,Chị muốn giúp đỡ.
co_giao den nha_ga,Cô giáo đến nhà ga.
anh muon hai_muoi but,Anh muốn hai mươi bút.
toi_nay me dang noi,Tối nay mẹ đang nói.
buoi_trua ong bi dau_chan,Buổi trưa ông bị đau chân.
hom_qua chi bi dau_lung,Hôm qua chị bị đau lưng.
toi thich nuoc_cam,Tôi thích nước cam.
bo muon nuoc o nha_thuoc,Bố muốn nước ở nhà thuốc.
toi thich quan,Tôi thích quần.
mua_dong thay_giao dang tam,Mùa đông thầy giáo đang tắm.
thu_hai me an,Thứ hai mẹ ăn.
thu_nam benh_nhan dang chay,Thứ năm bệnh nhân đang chạy.
ngay_mai me bi di_ung,Ngày mai mẹ bị dị ứng.
ban khong muon nghi_ngoi,Bạn không muốn nghỉ ngơi.
thu_hai troi_nong khong,Thứ hai có nóng không?
ong can sau pho,Ông cần sáu phở.
anh muon ba_muoi sua,Anh muốn ba mươi sữa.
ban tim noi_com_dien,Bạn tìm nồi cơm điện.
ban can kinh_lup khong,Bạn có cần kính lúp không?
bay_gio chung_toi bi chay_mau,Bây giờ chúng tôi bị chảy máu.
hom_qua co_giao dang mua_sam,Hôm qua cô giáo đang mua sắm.
thu_tu anh noi,Thứ tư anh nói.
anh se an,Anh sẽ ăn.
thang ong bi dau_lung,Tháng ông bị đau lưng.
buoi_toi ba hoc_bai,Buổi tối bà học bài.
chu_nhat em nghi,Chủ nhật em nghỉ.
thu_tu ong dang nghe,Thứ tư ông đang nghe.
thu_tu ong dang nghi,Thứ tư ông đang nghỉ.
ban muon mua may_tinh,Bạn muốn mua máy tính.
ba can trai_cay,Bà cần trái cây.
me muon mot_tram vo,Mẹ muốn một trăm vở.
thu_ba me dang hoc_bai,Thứ ba mẹ đang học bài.
thang ong viet,Tháng ông viết.
em can banh,Em cần bánh.
buoi_trua co dang tap_the_duc,Buổi trưa cô đang tập thể dục.
ngay thay_giao dang viet,Ngày thầy giáo đang viết.
me muon ghe,Mẹ muốn ghế.
bo khong muon nguoi_phien_dich,Bố không muốn người phiên dịch.
toi thich banh,Tôi thích bánh.
con_trai thich xe_cuu_thuong,Con trai thích xe cứu thương.
thay_giao muon di truong,Thầy giáo muốn đi trường.
ngay chung_toi bi di_ung,Ngày chúng tôi bị dị ứng.
em muon hai may_tinh,Em muốn hai máy tính.
em muon hai_muoi nuoc_cam,Em muốn hai mươi nước cam.
em thich thuc_an,Em thích thức ăn.
toi_nay bo bi dau_chan,Tối nay bố bị đau chân.
ngay me bi cam_lanh,Ngày mẹ bị cảm lạnh.
hom_qua co_giao noi,Hôm qua cô giáo nói.
buoi_trua anh dang choi,Buổi trưa anh đang chơi.
ba se chay,Bà sẽ chạy.
buoi_sang chi di_hoc,Buổi sáng chị đi học.
thu_nam anh bi chay_mau,Thứ năm anh bị chảy máu.
thu_nam con_gai dang tam,Thứ năm con gái đang tắm.
chu_nhat me bi dau_bung,Chủ nhật mẹ bị đau bụng.
ban muon mot vo,Bạn muốn một vở.
co di cong_vien,Cô đi công viên.
ba muon chao,Bà muốn cháo.
co thich giay,Cô thích giày.
con_trai den nha,Con trai đến nhà.
bo bi dau_dau nen can di_benh_vien,Bố bị đau đầu nên cần đi bệnh viện.
ngay ong dang di_cho,Ngày ông đang đi chợ.
ngay me dang an,Ngày mẹ đang ăn.
thay_giao muon sach,Thầy giáo muốn sách.
anh o san_bay,Anh ở sân bay.
buoi_chieu ban bi dau_lung,Buổi chiều bạn bị đau lưng.
toi muon chao o nha,Tôi muốn cháo ở nhà.
anh den nha_bep,Anh đến nhà bếp.
nguoi_khiem_thinh di ghe,Người khiếm thính đi ghế.
thu_bay anh dang noi,Thứ bảy anh đang nói.
toi_nay ban dang nghe,Tối nay bạn đang nghe.
ban can bon banh_mi,Bạn cần bốn bánh mì.
ban tim tivi,Bạn tìm ti vi.
buoi_chieu chi se di nha,Buổi chiều chị sẽ đi nhà.
thu_ba thay_giao nghi,Thứ ba thầy giáo nghỉ.
toi can dia_chi,Tôi cần địa chỉ.
thu_hai em se di truong,Thứ hai em sẽ đi trường.
thu_ba ong bi dau_dau,Thứ ba ông bị đau đầu.
buoi_trua benh_nhan dang rua_tay,Buổi trưa bệnh nhân đang rửa tay.
bo o cong_vien,Bố ở công viên.
ong can goi_bac_si,Ông cần gọi bác sĩ.
mua_dong co bi dau_lung,Mùa đông cô bị đau lưng.
buoi_trua nguoi_khiem_thinh dang nghe,Buổi trưa người khiếm thính đang nghe.
nguoi_khiem_thinh den ghe,Người khiếm thính đến ghế.
thu_nam ong bi kho_tho,Thứ năm ông bị khó thở.
em muon tam bun,Em muốn tám bún.
me muon hai may_tinh,Mẹ muốn hai máy tính.
em di taxi,Em đi taxi.
thu_hai anh dang tap_the_duc,Thứ hai anh đang tập thể dục.
thang me bi chay_mau,Tháng mẹ bị chảy máu.
