id,domain,intent,gloss_sequence,vietnamese_sentence,complexity,source,split
25,complex_need,want_food_place,ban muon pho o nha_thuoc,Bạn muốn phở ở nhà thuốc.,complex,synthetic_template_v4,train
26,generated_mix,time_activity,bay_gio me dang nghi,Bây giờ mẹ đang nghỉ.,medium,synthetic_template_v4,train
27,generated_mix,time_activity,hom_qua anh dang noi,Hôm qua anh đang nói.,medium,synthetic_template_v4,train
28,generated_question,question,bo can goi_bac_si khong,Bố có cần gọi bác sĩ không?,medium,synthetic_template_v4,train
29,time_activity,time_doing,chu_nhat bo hoc_bai,Chủ nhật bố học bài.,medium,synthetic_template_v4,train
30,object_action,find_object,ba tim dien_thoai,Bà tìm điện thoại.,simple,synthetic_template_v4,train
31,generated_health,time_symptom,thu_ba benh_nhan bi chay_mau,Thứ ba bệnh nhân bị chảy máu.,medium,synthetic_template_v4,train
32,generated_mix,time_activity,thu_hai chi dang noi,Thứ hai chị đang nói.,medium,synthetic_template_v4,train
33,location,go_to_place,anh di nha,Anh đi nhà.,simple,synthetic_template_v4,train
34,generated_health,time_symptom,toi_nay thay_giao bi di_ung,Tối nay thầy giáo bị dị ứng.,medium,synthetic_template_v4,train
35,generated_health,time_symptom,thu_nam anh bi buon_non,Thứ năm anh bị buồn nôn.,medium,synthetic_template_v4,train
36,generated_mix,time_activity,thu_sau me dang an,Thứ sáu mẹ đang ăn.,medium,synthetic_template_v4,train
37,quantity,need_quantity,toi can hai sach,Tôi cần hai sách.,medium,synthetic_template_v4,train
38,generated_mix,time_activity,thu_tu ba dang an,Thứ tư bà đang ăn.,medium,synthetic_template_v4,train
39,generated_mix,place,ba den phong_kham,Bà đến phòng khám.,simple,synthetic_template_v4,train
40,generated_health,time_symptom,thu_sau con_trai bi cam_lanh,Thứ sáu con trai bị cảm lạnh.,medium,synthetic_template_v4,train
41,health,symptom,co bi sot,Cô bị sốt.,simple,synthetic_template_v4,train
42,generated_mix,time_activity,thu_bay con_trai dang di_bo,Thứ bảy con trai đang đi bộ.,medium,synthetic_template_v4,train
43,daily_activity,future_activity,anh se rua_tay,Anh sẽ rửa tay.,simple,synthetic_template_v4,train
44,time_activity,time_doing,ngay thay_giao nghi,Ngày thầy giáo nghỉ.,medium,synthetic_template_v4,train
45,generated_health,time_symptom,nam me bi dau_bung,Năm mẹ bị đau bụng.,medium,synthetic_template_v4,train
46,quantity,need_quantity,bo can bon sach,Bố cần bốn sách.,medium,synthetic_template_v4,train
47,time_activity,time_doing,thu_bay co hoc_bai,Thứ bảy cô học bài.,medium,synthetic_template_v4,train
48,generated_mix,want_need_like,nguoi_khiem_thinh muon thuc_an,Người khiếm thính muốn thức ăn.,simple,synthetic_template_v4,train
49,generated_mix,time_activity,nam nguoi_khiem_thinh dang di_hoc,Năm người khiếm thính đang đi học.,medium,synthetic_template_v4,train
50,generated_health,time_symptom,bay_gio chung_toi bi dau_bung,Bây giờ chúng tôi bị đau bụng.,medium,synthetic_template_v4,train
51,generated_mix,time_activity,buoi_trua me dang tam,Buổi trưa mẹ đang tắm.,medium,synthetic_template_v4,train
52,generated_mix,time_activity,mua_he me dang nau_an,Mùa hè mẹ đang nấu ăn.,medium,synthetic_template_v4,train
53,quantity,want_quantity,bo muon muoi den,Bố muốn mười đèn.,medium,synthetic_template_v4,train
54,quantity,want_quantity,me muon chin pho,Mẹ muốn chín phở.,medium,synthetic_template_v4,train
55,generated_mix,time_activity,thu_tu benh_nhan dang viet,Thứ tư bệnh nhân đang viết.,medium,synthetic_template_v4,train
56,generated_health,time_symptom,thang ban bi dau_chan,Tháng bạn bị đau chân.,medium,synthetic_template_v4,train
57,generated_health,time_symptom,thu_ba con_gai bi dau,Thứ ba con gái bị đau.,medium,synthetic_template_v4,train
58,description,object_adj,dong_ho cu,Đồng hồ cũ.,simple,synthetic_template_v4,train
59,location,at_place,thay_giao o ban,Thầy giáo ở bàn.,simple,synthetic_template_v4,train
60,health,symptom,em bi di_ung,Em bị dị ứng.,simple,synthetic_template_v4,train
61,generated_mix,time_activity,thu_sau toi dang ngu,Thứ sáu tôi đang ngủ.,medium,synthetic_template_v4,train
62,generated_health,time_symptom,buoi_sang toi bi dau_lung,Buổi sáng tôi bị đau lưng.,medium,synthetic_template_v4,train
63,generated_mix,time_activity,thu_ba toi dang xem,Thứ ba tôi đang xem.,medium,synthetic_template_v4,train
64,generated_health,time_symptom,bay_gio ban bi ho,Bây giờ bạn bị ho.,medium,synthetic_template_v4,train
65,generated_mix,time_activity,mua_he ba dang giat_do,Mùa hè bà đang giặt đồ.,medium,synthetic_template_v4,train
66,generated_question,question,con_gai can com khong,Con gái có cần cơm không?,medium,synthetic_template_v4,train
67,time_activity,time_doing,thu_ba chi lam_viec,Thứ ba chị làm việc.,medium,synthetic_template_v4,train
68,generated_health,time_symptom,bay_gio con_gai bi kho_tho,Bây giờ con gái bị khó thở.,medium,synthetic_template_v4,train
69,generated_health,time_symptom,toi_nay co_giao bi di_ung,Tối nay cô giáo bị dị ứng.,medium,synthetic_template_v4,train
70,need,not_want,ban khong muon dien_thoai,Bạn không muốn điện thoại.,medium,synthetic_template_v4,train
71,generated_mix,time_activity,thu_nam benh_nhan dang viet,Thứ năm bệnh nhân đang viết.,medium,synthetic_template_v4,train
72,generated_family,help_someone,y_ta can o,Y tá cần ô.,medium,synthetic_template_v4,train
73,time_activity,time_doing,bay_gio co_giao hoc_bai,Bây giờ cô giáo học bài.,medium,synthetic_template_v4,train
74,generated_mix,time_activity,thu_bay thay_giao dang xem,Thứ bảy thầy giáo đang xem.,medium,synthetic_template_v4,train
75,generated_health,time_symptom,hom_nay chung_toi bi dau_hong,Hôm nay chúng tôi bị đau họng.,medium,synthetic_template_v4,train
76,quantity,want_quantity,me muon hai_muoi ban_phim,Mẹ muốn hai mươi bàn phím.,medium,synthetic_template_v4,train
77,health,symptom,toi bi dau_lung,Tôi bị đau lưng.,simple,synthetic_template_v4,train
78,generated_question,question,con_gai can giay khong,Con gái có cần giày không?,medium,synthetic_template_v4,train
79,location,want_go_place,me muon di nha_ga,Mẹ muốn đi nhà ga.,medium,synthetic_template_v4,train
80,complex_health,symptom_need,me bi dau_dau nen can com,Mẹ bị đau đầu nên cần cơm.,complex,synthetic_template_v4,train
81,generated_health,time_symptom,hom_qua ban bi dau_lung,Hôm qua bạn bị đau lưng.,medium,synthetic_template_v4,train
82,generated_mix,time_activity,hom_nay con_trai dang di_hoc,Hôm nay con trai đang đi học.,medium,synthetic_template_v4,train
83,generated_mix,time_activity,chu_nhat thay_giao dang uong,Chủ nhật thầy giáo đang uống.,medium,synthetic_template_v4,train
84,time_activity,time_doing,buoi_trua chi lam_bai_tap,Buổi trưa chị làm bài tập.,medium,synthetic_template_v4,train
85,confirmation,already_done,toi da nau_an,Tôi đã nấu ăn.,simple,synthetic_template_v4,train
86,quantity,need_quantity,ong can nam nuoc_cam,Ông cần năm nước cam.,medium,synthetic_template_v4,train
87,generated_mix,time_activity,hom_qua ban dang nau_an,Hôm qua bạn đang nấu ăn.,medium,synthetic_template_v4,train
88,quantity,want_quantity,ong muon tam bun,Ông muốn tám bún.,medium,synthetic_template_v4,train
89,generated_mix,time_activity,thu_ba con_gai dang tap_the_duc,Thứ ba con gái đang tập thể dục.,medium,synthetic_template_v4,train
90,generated_health,time_symptom,toi_nay me bi kho_tho,Tối nay mẹ bị khó thở.,medium,synthetic_template_v4,train
91,quantity,need_quantity,anh can hai nuoc,Anh cần hai nước.,medium,synthetic_template_v4,train
92,generated_mix,want_need_like,con_gai muon banh,Con gái muốn bánh.,simple,synthetic_template_v4,train
93,generated_mix,time_activity,chu_nhat anh dang hoc_bai,Chủ nhật anh đang học bài.,medium,synthetic_template_v4,train
94,object_action,find_object,me tim giuong,Mẹ tìm giường.,simple,synthetic_template_v4,train
95,location,want_go_place,co muon di sieu_thi,Cô muốn đi siêu thị.,medium,synthetic_template_v4,train
96,quantity,need_quantity,me can sau den,Mẹ cần sáu đèn.,medium,synthetic_template_v4,train
97,generated_emergency,emergency,con_trai bi cam_lanh nen can goi_bac_si,Con trai bị cảm lạnh nên cần gọi bác sĩ.,complex,synthetic_template_v4,train
98,generated_mix,time_activity,buoi_toi me dang rua_tay,Buổi tối mẹ đang rửa tay.,medium,synthetic_template_v4,train
99,generated_health,time_symptom,ngay_mai me bi dau_lung,Ngày mai mẹ bị đau lưng.,medium,synthetic_template_v4,train
100,quantity,want_quantity,anh muon muoi ban_phim,Anh muốn mười bàn phím.,medium,synthetic_template_v4,train
101,generated_health,time_symptom,buoi_sang thay_giao bi chong_mat,Buổi sáng thầy giáo bị chóng mặt.,medium,synthetic_template_v4,train
102,generated_question,question,con_gai can di_nha_ve_sinh khong,Con gái có cần đi nhà vệ sinh không?,medium,synthetic_template_v4,train
103,complex_health,symptom_need,em bi chong_mat nen can nuoc,Em bị chóng mặt nên cần nước.,complex,synthetic_template_v4,train
104,daily_activity,future_activity,me se chay,Mẹ sẽ chạy.,simple,synthetic_template_v4,train
105,object_action,lost_object,toi mat ban,Tôi mất bàn.,medium,synthetic_template_v4,train
106,generated_mix,time_activity,buoi_chieu con_gai dang di_hoc,Buổi chiều con gái đang đi học.,medium,synthetic_template_v4,train
107,generated_health,time_symptom,thu_ba thay_giao bi dau_bung,Thứ ba thầy giáo bị đau bụng.,medium,synthetic_template_v4,train
108,generated_health,time_symptom,thu_tu me bi chay_mau,Thứ tư mẹ bị chảy máu.,medium,synthetic_template_v4,train
109,quantity,need_quantity,me can nam nuoc_cam,Mẹ cần năm nước cam.,medium,synthetic_template_v4,train
110,complex_schedule,time_go_place,hom_nay ong se di nha_thuoc,Hôm nay ông sẽ đi nhà thuốc.,complex,synthetic_template_v4,train
111,quantity,need_quantity,toi can ba dien_thoai,Tôi cần ba điện thoại.,medium,synthetic_template_v4,train
112,generated_question,question,co can tra khong,Cô có cần trà không?,medium,synthetic_template_v4,train
113,generated_health,time_symptom,thu_nam ba bi chay_mau,Thứ năm bà bị chảy máu.,medium,synthetic_template_v4,train
114,daily_activity,doing,toi dang nghe,Tôi đang nghe.,simple,synthetic_template_v4,train
115,generated_mix,time_activity,thu_nam ban dang hoc_bai,Thứ năm bạn đang học bài.,medium,synthetic_template_v4,train
116,generated_mix,time_activity,thu_sau chi dang mua_sam,Thứ sáu chị đang mua sắm.,medium,synthetic_template_v4,train
117,generated_question,question,bun o_dau,Bún ở đâu?,medium,synthetic_template_v4,train
118,time_activity,time_doing,hom_nay me lam_bai_tap,Hôm nay mẹ làm bài tập.,medium,synthetic_template_v4,train
119,generated_mix,time_activity,thang anh dang nghe,Tháng anh đang nghe.,medium,synthetic_template_v4,train
120,generated_mix,time_activity,buoi_trua chung_toi dang hoc_bai,Buổi trưa chúng tôi đang học bài.,medium,synthetic_template_v4,train
121,quantity,want_quantity,toi muon ba_muoi vo,Tôi muốn ba mươi vở.,medium,synthetic_template_v4,train
122,generated_mix,time_activity,hom_qua thay_giao dang lam_viec,Hôm qua thầy giáo đang làm việc.,medium,synthetic_template_v4,train
123,complex_health,symptom_need,anh bi dau_tay nen can di_nha_ve_sinh,Anh bị đau tay nên cần đi nhà vệ sinh.,complex,synthetic_template_v4,train
124,generated_health,time_symptom,thu_bay chung_toi bi di_ung,Thứ bảy chúng tôi bị dị ứng.,medium,synthetic_template_v4,train
125,weather,weather_question,hom_nay bao khong,Hôm nay có bão không?,medium,synthetic_template_v4,train
126,time_activity,time_doing,mua_he chi ngu,Mùa hè chị ngủ.,medium,synthetic_template_v4,train
127,complex_need,want_food_place,chi muon ca_phe o sieu_thi,Chị muốn cà phê ở siêu thị.,complex,synthetic_template_v4,train
128,social,ask_emotion,ban cam_thay met khong,Bạn có cảm thấy mệt không?,medium,synthetic_template_v4,train
129,question,ask_quantity,ban can bao_nhieu ban,Bạn cần bao nhiêu bàn?,medium,synthetic_template_v4,train
130,time_activity,time_doing,ngay_mai bo nghi,Ngày mai bố nghỉ.,medium,synthetic_template_v4,train
131,quantity,want_quantity,ban muon mot chao,Bạn muốn một cháo.,medium,synthetic_template_v4,train
132,quantity,want_quantity,toi muon tam ban_phim,Tôi muốn tám bàn phím.,medium,synthetic_template_v4,train
133,transport,go_by_transport,ong di tau_hoa,Ông đi tàu hỏa.,simple,synthetic_template_v4,train
134,quantity,want_quantity,ong muon ba_muoi com,Ông muốn ba mươi cơm.,medium,synthetic_template_v4,train
135,quantity,need_quantity,toi can bay pho,Tôi cần bảy phở.,medium,synthetic_template_v4,train
136,generated_mix,want_need_like,benh_nhan muon tra,Bệnh nhân muốn trà.,simple,synthetic_template_v4,train
137,generated_health,time_symptom,thu_ba con_trai bi bi_thuong,Thứ ba con trai bị bị thương.,medium,synthetic_template_v4,train
138,daily_activity,future_activity,bo se lam_viec,Bố sẽ làm việc.,simple,synthetic_template_v4,train
139,generated_health,time_symptom,thu_bay nguoi_khiem_thinh bi dau_chan,Thứ bảy người khiếm thính bị đau chân.,medium,synthetic_template_v4,train
140,generated_mix,time_activity,mua_he me dang tam,Mùa hè mẹ đang tắm.,medium,synthetic_template_v4,train
141,time_activity,time_doing,ngay_mai co noi,Ngày mai cô nói.,medium,synthetic_template_v4,train
142,generated_mix,time_activity,hom_qua con_trai dang mua_sam,Hôm qua con trai đang mua sắm.,medium,synthetic_template_v4,train
143,quantity,want_quantity,em muon mot den,Em muốn một đèn.,medium,synthetic_template_v4,train
144,confirmation,already_done,co da hoc_bai,Cô đã học bài.,simple,synthetic_template_v4,train
145,generated_mix,time_activity,buoi_sang bo dang doc_sach,Buổi sáng bố đang đọc sách.,medium,synthetic_template_v4,train
146,generated_mix,time_activity,thu_ba nguoi_khiem_thinh dang choi,Thứ ba người khiếm thính đang chơi.,medium,synthetic_template_v4,train
147,generated_mix,time_activity,ngay_mai toi dang hoc_bai,Ngày mai tôi đang học bài.,medium,synthetic_template_v4,train
148,weather,weather_question,thu_ba am_uot khong,Thứ ba có ẩm ướt không?,medium,synthetic_template_v4,train
149,health,feel_symptom,me cam_thay cam_lanh,Mẹ cảm thấy cảm lạnh.,simple,synthetic_template_v4,train
150,generated_health,time_symptom,buoi_trua me bi di_ung,Buổi trưa mẹ bị dị ứng.,medium,synthetic_template_v4,train
151,generated_mix,place,em den ghe,Em đến ghế.,simple,synthetic_template_v4,train
152,generated_mix,time_activity,chu_nhat thay_giao dang chay,Chủ nhật thầy giáo đang chạy.,medium,synthetic_template_v4,train
153,complex_need,want_food_place,toi muon nuoc o sieu_thi,Tôi muốn nước ở siêu thị.,complex,synthetic_template_v4,train
154,generated_mix,time_activity,hom_qua con_gai dang doc_sach,Hôm qua con gái đang đọc sách.,medium,synthetic_template_v4,train
155,generated_mix,time_activity,ngay_mai con_trai dang tap_the_duc,Ngày mai con trai đang tập thể dục.,medium,synthetic_template_v4,train
156,generated_mix,time_activity,toi_nay con_gai dang di_hoc,Tối nay con gái đang đi học.,medium,synthetic_template_v4,train
157,generated_emergency,emergency,chung_toi bi met nen can goi_bac_si,Chúng tôi bị mệt nên cần gọi bác sĩ.,complex,synthetic_template_v4,train
158,generated_mix,time_activity,thu_tu co_giao dang giat_do,Thứ tư cô giáo đang giặt đồ.,medium,synthetic_template_v4,train
159,generated_family,help_someone,con_gai can ao,Con gái cần áo.,medium,synthetic_template_v4,train
160,object_action,lost_object,em mat tivi,Em mất ti vi.,medium,synthetic_template_v4,train
161,generated_mix,want_need_like,me thich ao_khoac,Mẹ thích áo khoác.,simple,synthetic_template_v4,train
162,quantity,need_quantity,anh can hai den,Anh cần hai đèn.,medium,synthetic_template_v4,train
163,generated_mix,time_activity,thu_nam anh dang di_bo,Thứ năm anh đang đi bộ.,medium,synthetic_template_v4,train
164,generated_mix,time_activity,hom_nay con_gai dang noi,Hôm nay con gái đang nói.,medium,synthetic_template_v4,train
165,generated_mix,time_activity,hom_qua ba dang di_cho,Hôm qua bà đang đi chợ.,medium,synthetic_template_v4,train
166,generated_mix,time_activity,nam co_giao dang tap_the_duc,Năm cô giáo đang tập thể dục.,medium,synthetic_template_v4,train
167,generated_health,time_symptom,ngay_mai chi bi dau_dau,Ngày mai chị bị đau đầu.,medium,synthetic_template_v4,train
168,confirmation,already_done,anh da nghe,Anh đã nghe.,simple,synthetic_template_v4,train
169,generated_mix,time_activity,thu_tu thay_giao dang di_hoc,Thứ tư thầy giáo đang đi học.,medium,synthetic_template_v4,train
170,generated_health,time_symptom,ngay_mai toi bi di_ung,Ngày mai tôi bị dị ứng.,medium,synthetic_template_v4,train
171,generated_question,question,thay_giao can ghe khong,Thầy giáo có cần ghế không?,medium,synthetic_template_v4,train
172,generated_mix,time_activity,buoi_toi co_giao dang noi,Buổi tối cô giáo đang nói.,medium,synthetic_template_v4,train
173,generated_mix,time_activity,thu_tu chi dang tam,Thứ tư chị đang tắm.,medium,synthetic_template_v4,train
174,generated_mix,want_need_like,anh thich kinh_lup,Anh thích kính lúp.,simple,synthetic_template_v4,train
175,generated_health,time_symptom,nam ong bi buon_non,Năm ông bị buồn nôn.,medium,synthetic_template_v4,train
176,generated_health,time_symptom,thu_sau con_gai bi sot,Thứ sáu con gái bị sốt.,medium,synthetic_template_v4,train
177,generated_mix,time_activity,thu_sau thay_giao dang hoc_bai,Thứ sáu thầy giáo đang học bài.,medium,synthetic_template_v4,train
178,generated_mix,time_activity,ngay_mai con_trai dang di_hoc,Ngày mai con trai đang đi học.,medium,synthetic_template_v4,train
179,generated_health,time_symptom,nam bo bi dau_dau,Năm bố bị đau đầu.,medium,synthetic_template_v4,train
180,generated_health,time_symptom,thu_sau co_giao bi sot,Thứ sáu cô giáo bị sốt.,medium,synthetic_template_v4,train
181,time_activity,time_doing,thu_ba em doc_sach,Thứ ba em đọc sách.,medium,synthetic_template_v4,train
182,generated_question,question,nguoi_khiem_thinh can pho khong,Người khiếm thính có cần phở không?,medium,synthetic_template_v4,train
183,generated_mix,time_activity,ngay con_gai dang di_cho,Ngày con gái đang đi chợ.,medium,synthetic_template_v4,train
184,generated_mix,time_activity,mua_he con_gai dang nghi,Mùa hè con gái đang nghỉ.,medium,synthetic_template_v4,train
185,generated_health,time_symptom,mua_dong toi bi di_ung,Mùa đông tôi bị dị ứng.,medium,synthetic_template_v4,train
186,generated_mix,time_activity,buoi_trua me dang mua_sam,Buổi trưa mẹ đang mua sắm.,medium,synthetic_template_v4,train
187,description,object_adj,noi_com_dien cu,Nồi cơm điện cũ.,simple,synthetic_template_v4,train
188,food_drink,want_food,co muon rau,Cô muốn rau.,simple,synthetic_template_v4,train
189,quantity,want_quantity,anh muon tam tivi,Anh muốn tám ti vi.,medium,synthetic_template_v4,train
190,time_activity,time_doing,thu_bay me xem,Thứ bảy mẹ xem.,medium,synthetic_template_v4,train
191,quantity,want_quantity,ong muon hai bun,Ông muốn hai bún.,medium,synthetic_template_v4,train
192,health,need_doctor,em bi dau can goi_bac_si,"Em bị đau, cần gọi bác sĩ.",complex,synthetic_template_v4,train
193,food_drink,want_food,anh muon pho,Anh muốn phở.,simple,synthetic_template_v4,train
194,generated_health,time_symptom,nam co bi di_ung,Năm cô bị dị ứng.,medium,synthetic_template_v4,train
195,object_action,find_object,chi tim tivi,Chị tìm ti vi.,simple,synthetic_template_v4,train
196,generated_mix,time_activity,buoi_chieu benh_nhan dang lam_bai_tap,Buổi chiều bệnh nhân đang làm bài tập.,medium,synthetic_template_v4,train
197,location,at_place,ong o nha,Ông ở nhà.,simple,synthetic_template_v4,train
198,generated_mix,time_activity,thang me dang lam_viec,Tháng mẹ đang làm việc.,medium,synthetic_template_v4,train
199,generated_mix,time_activity,nam con_gai dang tam,Năm con gái đang tắm.,medium,synthetic_template_v4,train
200,time_activity,time_doing,thu_hai co di_hoc,Thứ hai cô đi học.,medium,synthetic_template_v4,train
201,time_activity,time_doing,thu_sau me viet,Thứ sáu mẹ viết.,medium,synthetic_template_v4,train
202,food_drink,like_food,co thich com,Cô thích cơm.,simple,synthetic_template_v4,train
203,quantity,want_quantity,anh muon nam sua,Anh muốn năm sữa.,medium,synthetic_template_v4,train
204,generated_mix,time_activity,thu_nam anh dang tap_the_duc,Thứ năm anh đang tập thể dục.,medium,synthetic_template_v4,train
205,time_activity,time_doing,thang thay_giao di_hoc,Tháng thầy giáo đi học.,medium,synthetic_template_v4,train
206,generated_mix,time_activity,hom_nay co_giao dang uong,Hôm nay cô giáo đang uống.,medium,synthetic_template_v4,train
207,object_action,need_object,me can noi_com_dien,Mẹ cần nồi cơm điện.,simple,synthetic_template_v4,train
208,generated_health,time_symptom,thu_sau co bi dau_dau,Thứ sáu cô bị đau đầu.,medium,synthetic_template_v4,train
209,location,at_place,thay_giao o nha_ga,Thầy giáo ở nhà ga.,simple,synthetic_template_v4,train
210,generated_mix,time_activity,thu_bay em dang rua_tay,Thứ bảy em đang rửa tay.,medium,synthetic_template_v4,train
211,quantity,need_quantity,me can mot_tram bun,Mẹ cần một trăm bún.,medium,synthetic_template_v4,train
212,generated_health,time_symptom,thang em bi dau_chan,Tháng em bị đau chân.,medium,synthetic_template_v4,train
213,health,need_doctor,toi bi cam_lanh can goi_bac_si,"Tôi bị cảm lạnh, cần gọi bác sĩ.",complex,synthetic_template_v4,train
214,complex_health,symptom_need,me bi dau_hong nen can nghi_ngoi,Mẹ bị đau họng nên cần nghỉ ngơi.,complex,synthetic_template_v4,train
215,complex_schedule,time_go_place,buoi_toi anh se di van_phong,Buổi tối anh sẽ đi văn phòng.,complex,synthetic_template_v4,train
216,generated_mix,time_activity,mua_dong chung_toi dang nghi,Mùa đông chúng tôi đang nghỉ.,medium,synthetic_template_v4,train
217,generated_mix,want_need_like,thay_giao can noi_com_dien,Thầy giáo cần nồi cơm điện.,simple,synthetic_template_v4,train
218,generated_health,time_symptom,nam bo bi cam_lanh,Năm bố bị cảm lạnh.,medium,synthetic_template_v4,train
219,generated_mix,time_activity,thu_ba ban dang choi,Thứ ba bạn đang chơi.,medium,synthetic_template_v4,train
220,time_activity,time_doing,hom_nay me an,Hôm nay mẹ ăn.,medium,synthetic_template_v4,train
221,generated_mix,time_activity,thu_ba chung_toi dang di_bo,Thứ ba chúng tôi đang đi bộ.,medium,synthetic_template_v4,train
222,quantity,want_quantity,em muon mot_tram may_tinh,Em muốn một trăm máy tính.,medium,synthetic_template_v4,train
223,generated_health,time_symptom,thu_nam con_gai bi dau_lung,Thứ năm con gái bị đau lưng.,medium,synthetic_template_v4,train
224,generated_health,time_symptom,chu_nhat con_trai bi dau_dau,Chủ nhật con trai bị đau đầu.,medium,synthetic_template_v4,train
225,object_action,want_object,anh muon sach,Anh muốn sách.,simple,synthetic_template_v4,train
226,generated_mix,time_activity,buoi_trua co dang an,Buổi trưa cô đang ăn.,medium,synthetic_template_v4,train
227,generated_mix,time_activity,thu_hai ba dang choi,Thứ hai bà đang chơi.,medium,synthetic_template_v4,train
228,description,object_adj,sach kho_rao,Sách khô ráo.,simple,synthetic_template_v4,train
229,generated_health,time_symptom,ngay_mai con_trai bi ho,Ngày mai con trai bị ho.,medium,synthetic_template_v4,train
230,generated_question,question,toi can ba_lo khong,Tôi có cần ba lô không?,medium,synthetic_template_v4,train
231,generated_question,question,bo can thit khong,Bố có cần thịt không?,medium,synthetic_template_v4,train
232,generated_mix,time_activity,thu_sau nguoi_khiem_thinh dang nau_an,Thứ sáu người khiếm thính đang nấu ăn.,medium,synthetic_template_v4,train
233,generated_health,time_symptom,thu_nam nguoi_khiem_thinh bi dau_lung,Thứ năm người khiếm thính bị đau lưng.,medium,synthetic_template_v4,train
234,generated_mix,time_activity,hom_nay ba dang lam_bai_tap,Hôm nay bà đang làm bài tập.,medium,synthetic_template_v4,train
235,generated_health,time_symptom,thu_sau ban bi cam_lanh,Thứ sáu bạn bị cảm lạnh.,medium,synthetic_template_v4,train
236,generated_mix,time_activity,buoi_trua ban dang noi,Buổi trưa bạn đang nói.,medium,synthetic_template_v4,train
237,description,object_adj,ao cu,Áo cũ.,simple,synthetic_template_v4,train
238,generated_health,time_symptom,ngay_mai chung_toi bi dau_tay,Ngày mai chúng tôi bị đau tay.,medium,synthetic_template_v4,train
239,generated_health,time_symptom,hom_nay thay_giao bi chay_mau,Hôm nay thầy giáo bị chảy máu.,medium,synthetic_template_v4,train
240,time_activity,time_doing,buoi_sang toi di_hoc,Buổi sáng tôi đi học.,medium,synthetic_template_v4,train
241,generated_mix,time_activity,buoi_chieu benh_nhan dang xem,Buổi chiều bệnh nhân đang xem.,medium,synthetic_template_v4,train
242,daily_activity,doing,co dang nghe,Cô đang nghe.,simple,synthetic_template_v4,train
243,generated_command,polite,lam_on goi but giup toi,Làm ơn gọi bút giúp tôi.,medium,synthetic_template_v4,train
244,generated_health,time_symptom,thu_bay ong bi dau_dau,Thứ bảy ông bị đau đầu.,medium,synthetic_template_v4,train
245,generated_mix,time_activity,chu_nhat co_giao dang lam_viec,Chủ nhật cô giáo đang làm việc.,medium,synthetic_template_v4,train
246,generated_health,time_symptom,thang me bi dau_bung,Tháng mẹ bị đau bụng.,medium,synthetic_template_v4,train
